Copy_number	TNs	FNs	TPs	TNR	TPR	Accuracy	TNR + TPR	ROCAUC
2	187	21	83	0.984211	0.798077	0.918367	1.782288	0.8911437246963563
3	90	14	83	0.967742	0.85567	0.910526	1.823412	0.9117060192883273
4	12	2	83	0.8	0.976471	0.95	1.776471	0.8882352941176471
5	1	0	83	0.25	1.0	0.965517	1.25	0.625
6	0	0	82	0.0	1.0	0.97619	1.0	0.5
7	0	0	82	0.0	1.0	0.987952	1.0	0.5
8	0	0	81	0.0	1.0	0.987805	1.0	0.5
9	0	0	81	0.0	1.0	0.987805	1.0	0.5
10	0	0	81	0.0	1.0	0.987805	1.0	0.5
11	0	0	81	0.0	1.0	0.987805	1.0	0.5
12	0	0	81	0.0	1.0	0.987805	1.0	0.5
13	0	0	81	0.0	1.0	0.987805	1.0	0.5
14	0	0	80	0.0	1.0	0.987654	1.0	0.5
15	0	0	79	0.0	1.0	0.9875	1.0	0.5
