CN Ratio	TNs	FNs	TPs	TNR	TPR	Accuracy	TNR + TPR	ROCAUC
0.1	40	0	35	0.533333	1.0	0.681818	1.533333	0.766667
0.2	56	0	35	0.746667	1.0	0.827273	1.746667	0.873333
0.3	71	0	35	0.946667	1.0	0.963636	1.946667	0.973333
0.4	75	0	35	1.0	1.0	1.0	2.0	1.0
0.5	75	0	35	1.0	1.0	1.0	2.0	1.0
0.6	75	2	33	1.0	0.942857	0.981818	1.942857	0.971429
0.7	75	5	30	1.0	0.857143	0.954545	1.857143	0.928571
0.8	75	9	26	1.0	0.742857	0.918182	1.742857	0.871429
0.9	75	13	22	1.0	0.628571	0.881818	1.628571	0.814286
1.0	75	20	15	1.0	0.428571	0.818182	1.428571	0.714286
1.1	75	24	11	1.0	0.314286	0.781818	1.314286	0.657143
1.2	75	27	8	1.0	0.228571	0.754545	1.228571	0.614286
1.3	75	28	7	1.0	0.2	0.745455	1.2	0.6
1.4	75	30	5	1.0	0.142857	0.727273	1.142857	0.571429
1.5	75	31	4	1.0	0.114286	0.718182	1.114286	0.557143
1.6	75	32	3	1.0	0.085714	0.709091	1.085714	0.542857
1.7	75	32	3	1.0	0.085714	0.709091	1.085714	0.542857
1.8	75	33	2	1.0	0.057143	0.7	1.057143	0.528571
1.9	75	33	2	1.0	0.057143	0.7	1.057143	0.528571
2.0	75	34	1	1.0	0.028571	0.690909	1.028571	0.514286
